provider,category,deploy_target,api_type,auth_method,required_secret_names,minimum_permissions,create_endpoint_or_sdk,deploy_flow,rollback_or_delete_flow,docs_url,notes
AWS,cloud_major,VM/container,REST API + SDK + CLI,IAM access key or role,"AWS_ACCESS_KEY_ID; AWS_SECRET_ACCESS_KEY; AWS_REGION","Least-privilege IAM for EC2 RunInstances or ECS/Fargate task/service creation plus PassRole when needed","EC2 RunInstances API or ECS CreateService/RegisterTaskDefinition","Create IAM principal; create VPC/security group/key pair or task execution role; call RunInstances for VM or RegisterTaskDefinition/CreateService for container; poll DescribeInstances or DescribeServices","TerminateInstances for VM; UpdateService/rollback task definition or DeleteService for ECS",https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_RunInstances.html,"Use AWS Price List API separately for price lookup; never store root account keys."
Azure,cloud_major,VM/container,REST API + SDK + CLI,Microsoft Entra service principal,"AZURE_CLIENT_ID; AZURE_CLIENT_SECRET; AZURE_TENANT_ID; AZURE_SUBSCRIPTION_ID","Contributor scoped to resource group or narrower VM/container app permissions","Azure Compute Virtual Machines Create/Update or Azure Container Apps create","Create service principal; assign role on resource group; create resource group/network resources; call VM create/update or Container Apps API; poll provisioningState","Delete VM/resource group or redeploy previous image/revision",https://learn.microsoft.com/en-us/rest/api/compute/virtual-machines/create-or-update,"Retail Prices API is unauthenticated, but deploy APIs require Entra auth."
GCP,cloud_major,VM/container,REST API + SDK + CLI,Service account OAuth2,"GOOGLE_APPLICATION_CREDENTIALS; GCP_PROJECT; GCP_REGION","Compute Instance Admin v1 plus Service Account User for VM; Cloud Run Admin plus Service Account User for container","Compute Engine instances.insert or Cloud Run services.create","Create service account; grant minimal IAM; enable API; call instances.insert for VM or Cloud Run service create for container; poll operation/service status","Delete instance/service or update Cloud Run traffic to previous revision",https://cloud.google.com/compute/docs/reference/rest/v1/instances/insert,"Pricing API often requires billing account/IAM; public pricing table can be used for raw research."
DigitalOcean,cloud_major,VM/container,REST API + official clients,Personal access token,"DIGITALOCEAN_TOKEN","Token scopes for droplet/app create and read; restrict token lifecycle manually","Droplets API create or App Platform create app","Create PAT; choose region/size/image; POST /v2/droplets for VM or POST /v2/apps for App Platform; poll action/app deployment","Destroy droplet; create rollback deployment or update app spec",https://docs.digitalocean.com/reference/api/,"Sizes API endpoint documents price_hourly/price_monthly but API calls require bearer token."
Alibaba,cloud_major,VM/container,OpenAPI + SDK,RAM user access key or STS token,"ALIBABA_CLOUD_ACCESS_KEY_ID; ALIBABA_CLOUD_ACCESS_KEY_SECRET; ALIBABA_CLOUD_REGION_ID","RAM policy for ECS RunInstances or ECI create container group; PassRole if attaching roles","ECS RunInstances or Elastic Container Instance CreateContainerGroup","Create RAM user/role; grant ECS/ECI permissions; select region/vswitch/security group/image; call RunInstances or CreateContainerGroup; poll instance/container state","DeleteInstance or DeleteContainerGroup; redeploy previous image/config",https://www.alibabacloud.com/help/en/ecs/developer-reference/api-ecs-2014-05-26-runinstances,"Price lookup can use pricing module APIs but may require account context."
Tencent,cloud_major,VM/container,API 3.0 + SDK,SecretId/SecretKey signed requests,"TENCENTCLOUD_SECRET_ID; TENCENTCLOUD_SECRET_KEY; TENCENTCLOUD_REGION","CAM policy for CVM RunInstances or TKE/SCF resources as needed","CVM RunInstances API","Create CAM user; grant CVM permissions; choose region/zone/image/instance type/security group; call RunInstances; poll DescribeInstances","TerminateInstances or redeploy previous image/config",https://intl.cloud.tencent.com/document/product/213/15688?lang=en,"RunInstances may freeze prepaid/pay-as-you-go balance before creation."
Modal.com,ml_best,function/model endpoint,Python SDK + CLI,Modal token,"MODAL_TOKEN_ID; MODAL_TOKEN_SECRET","Workspace permission to deploy apps/functions","modal deploy or Modal Python SDK app/function definitions","Install modal; authenticate token; define App and @app.function or web endpoint; run modal deploy; invoke deployed function or web URL","Deploy previous app version or delete/stop app from dashboard/CLI",https://modal.com/docs/guide/trigger-deployed-functions,"Best for Python-first serverless jobs, APIs, and GPU inference."
Hugging Face,ml_best,model endpoint,Python SDK + REST,User access token,"HF_TOKEN","Token with Inference Endpoints permission for user/org","huggingface_hub create_inference_endpoint","Create HF token; ensure subscription/payment; call create endpoint with repository, provider, region, instance type, autoscaling; wait until deployed","Pause/scale to zero/delete endpoint or create new revision",https://huggingface.co/docs/huggingface_hub/en/guides/inference_endpoints,"Endpoint creation requires account eligibility and payment method."
Replicate,ml_best,model deployment,REST API + CLI/API token,API token,"REPLICATE_API_TOKEN","Account token permission for deployments/models","POST https://api.replicate.com/v1/deployments","Package model with Cog or select model version; create deployment with hardware and min/max instances; call predictions endpoint","Update deployment version/config or DELETE deployment",https://replicate.com/docs/topics/deployments/create-a-deployment,"Private deployments may bill idle online instances."
Netlify,web_instant,site/app deploy,REST API + CLI,OAuth/PAT bearer token,"NETLIFY_AUTH_TOKEN; NETLIFY_SITE_ID","Site deploy permission; team/site scoped token when possible","Netlify deploy API or CLI deploy","Create/import site; build project; upload ZIP/files via deploy API or run CLI; poll deploy status until ready","Restore previous deploy or delete deploy/site",https://docs.netlify.com/api/get-started/,"API deploy limits apply; production deploys consume usage credits."
Vercel,web_instant,site/app deploy,REST API + SDK + CLI,Bearer access token,"VERCEL_TOKEN; VERCEL_TEAM_ID; VERCEL_PROJECT_ID","Project/team deploy permission; environment variable read/write only if needed","POST https://api.vercel.com/v13/deployments or SDK createDeployment","Create access token; link project/team; send files/git source/build output to deployments endpoint; poll deployment status; assign alias/production target","Promote previous deployment, rollback via deployment alias, or delete deployment",https://vercel.com/docs/rest-api/reference/endpoints/deployments/create-a-new-deployment,"REST API supports deployments, aliases, projects, env vars, and teams."
Neon,database,Postgres project/database,REST API,API key bearer token,"NEON_API_KEY","Organization/project create permission","POST https://console.neon.tech/api/v2/projects","Create API key; call create project with region/Postgres version/settings; read connection URI; apply migrations","Delete project/branch or restore from branch/backup depending plan",https://api-docs.neon.tech/reference/createproject,"Use branch-per-environment for previews when suitable."
Supabase,database,Postgres project/backend,Management API + CLI,Personal access token,"SUPABASE_ACCESS_TOKEN; SUPABASE_ORG_ID; SUPABASE_PROJECT_REF","Org project create permission; project API key access for runtime separately","POST https://api.supabase.com/v1/projects","Create PAT; choose org/region/db password/plan options; POST create project; wait for healthy; run migrations/config","Pause/delete project or restore from backups; redeploy edge functions separately",https://supabase.com/docs/reference/api/create-a-project,"Do not confuse Management API PAT with project anon/service_role keys."
Firebase,database,Hosting/backend deploy,REST API + CLI,Google OAuth/service account,"GOOGLE_APPLICATION_CREDENTIALS; FIREBASE_PROJECT_ID; FIREBASE_SITE_ID","Firebase Admin/Hosting Admin and required Google Cloud IAM","Firebase Hosting REST API versions/releases","Create Firebase project/site; create Hosting version; upload files; finalize version; release version to site/channel","Rollback to previous release or delete channel/version",https://firebase.google.com/docs/hosting/api-deploy,"Before first Hosting REST deploy, project must have a default Hosting site."
MongoDB,database,Atlas cluster,Atlas Admin API,Public/private API key digest auth or service account,"MONGODB_ATLAS_PUBLIC_KEY; MONGODB_ATLAS_PRIVATE_KEY; MONGODB_ATLAS_ORG_ID; MONGODB_ATLAS_PROJECT_ID","Project Cluster Manager or narrower custom role","Atlas Admin API create cluster","Create API keys; create/get project; call create cluster with provider/region/instance size; configure network access and database users","Delete cluster or scale down/update cluster config; restore from snapshot if enabled",https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2/operation/operation-creategroupcluster,"Network access and DB users are separate from cluster creation."
Railway,backend,backend service/database,GraphQL API + CLI,Account/project token,"RAILWAY_TOKEN; RAILWAY_PROJECT_ID; RAILWAY_ENVIRONMENT_ID","Project/environment deploy permission","Railway public GraphQL API mutations or railway up","Create token; create/select project/environment/service; deploy from repo/image/local with CLI or GraphQL workflow; monitor deployment logs/status","Rollback to previous deployment or remove service/environment",https://docs.railway.com/integrations/api,"Railway API is GraphQL; docs recommend learning GraphQL flow first."
