provider,category,product,service_type,region_code,region_name,sku_or_plan,cpu_vcpu,memory_gb,storage_gb,gpu,price_amount,price_unit,currency,billing_basis,notes,source_url,fetched_at
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,t4g.nano,2,0.5,,none,,hour,USD,on_demand_linux,"Use AWS Price List Query API/Bulk API for current SKU price; public on-demand EC2 pricing varies by OS, tenancy, and region.",https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/using-price-list-query-api.html,2026-05-11
AWS,cloud_major,Amazon EC2,vm,ap-southeast-1,Asia Pacific Singapore,t3.micro,2,1,,none,,hour,USD,on_demand_linux,Use AWS Price List Query API/Bulk API for current SKU price; deploy-relevant burstable entry VM.,https://aws.amazon.com/ec2/pricing/on-demand/,2026-05-11
AWS,cloud_major,Amazon ECS on Fargate,container,ap-southeast-1,Asia Pacific Singapore,0.25vCPU-0.5GB,0.25,0.5,,none,,vCPU-hour + GB-hour,USD,on_demand,Fargate bills CPU and memory separately; use AWS price list for exact regional rates.,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/price-changes.html,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_B1s,1,1,,none,0.0132,hour,USD,consumption_linux,Retail Prices API sample for Linux BS Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_B2s,2,4,,none,0.0528,hour,USD,consumption_linux,Retail Prices API sample for Linux BS Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
Azure,cloud_major,Azure Virtual Machines,vm,southeastasia,Southeast Asia,Standard_D2s_v5,2,8,,none,0.12,hour,USD,consumption_linux,Retail Prices API sample for Linux Dsv5 Series in southeastasia.,https://learn.microsoft.com/en-us/rest/api/cost-management/retail-prices/azure-retail-prices,2026-05-11
GCP,cloud_major,Compute Engine,vm,asia-southeast2,Jakarta,e2-micro,2,1,,none,,hour,USD,on_demand_linux,Pricing is available via Google Cloud Pricing API or Compute Engine pricing table; e2-micro exposes 2 vCPU with fractional CPU time.,https://cloud.google.com/compute/all-pricing,2026-05-11
GCP,cloud_major,Compute Engine,vm,asia-southeast2,Jakarta,e2-small,2,2,,none,,hour,USD,on_demand_linux,Pricing is available via Google Cloud Pricing API or Compute Engine pricing table; e2-small is shared-core.,https://cloud.google.com/compute/docs/general-purpose-machines,2026-05-11
GCP,cloud_major,Compute Engine,vm,asia-southeast2,Jakarta,e2-standard-2,2,8,,none,,hour,USD,on_demand_linux,Pricing is available via Google Cloud Pricing API or Compute Engine pricing table; general-purpose deploy baseline.,https://cloud.google.com/billing/docs/reference/pricing-api/rest,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,s-1vcpu-1gb,1,1,25,none,0.009,hour,USD,on_demand,Basic shared CPU Droplet; public API requires token but size objects include price_hourly and price_monthly.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,s-2vcpu-2gb,2,2,60,none,0.027,hour,USD,on_demand,Basic shared CPU Droplet deploy-relevant general size.,https://www.digitalocean.com/pricing/droplets,2026-05-11
DigitalOcean,cloud_major,Droplets,vm,sgp1,Singapore,g-2vcpu-8gb,2,8,25,none,0.09375,hour,USD,on_demand,General Purpose dedicated CPU Droplet.,https://www.digitalocean.com/pricing/droplets,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,ap-southeast-1,Singapore,ecs.t6-c1m1.large,2,2,,none,,hour,USD,pay_as_you_go,"Use Alibaba Cloud pricing modules/DescribePrice; public table changes by zone, image, disk, network, and promotion.",https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Compute Service,vm,ap-southeast-1,Singapore,ecs.g7.large,2,8,,none,,hour,USD,pay_as_you_go,General-purpose ECS sample; query official price API before deployment.,https://www.alibabacloud.com/help/doc-detail/472926.html,2026-05-11
Alibaba,cloud_major,Elastic Container Instance,container,ap-southeast-1,Singapore,2vCPU-4GiB,2,4,,none,,vCPU-hour + GiB-hour,USD,pay_as_you_go,"Container pricing depends on CPU, memory, image cache, and region.",https://static-aliyun-doc.oss-cn-hangzhou.aliyuncs.com/download/pdf/89016/Pricing_intl_en-US.pdf,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-singapore,Singapore,S5.SMALL1,1,1,,none,,hour,USD,pay_as_you_go,"Use Tencent CVM pricing/calculator and RunInstances parameters; public API docs focus on create flow, not unauthenticated pricing.",https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-singapore,Singapore,S5.MEDIUM2,2,2,,none,,hour,USD,pay_as_you_go,Deploy-relevant standard CVM shape; verify active regional price in console/calculator.,https://intl.cloud.tencent.com/document/product/213/15688?lang=en,2026-05-11
Tencent,cloud_major,Cloud Virtual Machine,vm,ap-singapore,Singapore,SA5.LARGE8,4,8,,none,,hour,USD,pay_as_you_go,Higher baseline sample for scalable backend VM; verify active regional pricing in Tencent calculator/console.,https://cloud.tencent.com/document/product/213/15730,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_function,global,Global,cpu-0.125core-0.5GiB,0.25,0.5,,none,0.0000131,core-second,USD,usage_based,CPU billed per physical core-second; memory billed separately at 0.00000222 USD/GiB/sec.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_gpu,global,Global,Nvidia L4,,30,,L4,0.000222,gpu-second,USD,usage_based,GPU task price only; CPU and memory charges may also apply.,https://modal.com/pricing,2026-05-11
Modal.com,ml_best,Modal Serverless,serverless_gpu,global,Global,Nvidia H100,,80,,H100,0.001097,gpu-second,USD,usage_based,H100 may be automatically upgraded to H200 with no cost change per Modal docs.,https://modal.com/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,aws-cpu-x1,1,2,,none,0.03,hour,USD,dedicated_endpoint,Dedicated endpoint CPU instance; charged while initializing/running and calculated by minute.,https://huggingface.co/docs/inference-endpoints/en/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,azure,Provider Azure,azure-cpu-x1,1,2,,none,0.06,hour,USD,dedicated_endpoint,Dedicated endpoint CPU instance; requires active subscription and payment method.,https://huggingface.co/docs/inference-endpoints/en/pricing,2026-05-11
Hugging Face,ml_best,Inference Endpoints,dedicated_endpoint,aws,Provider AWS,aws-inf2-x1,,14.5,,Inf2 Neuron,0.75,hour,USD,dedicated_endpoint,Accelerator endpoint sample from official pricing page.,https://huggingface.co/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,cpu-small,1,2,,none,0.000025,second,USD,usage_based,Private deployments may bill while instances are online; public models usually bill by runtime.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,cpu,4,8,,none,0.0001,second,USD,usage_based,General CPU hardware for private/public model execution.,https://replicate.com/pricing,2026-05-11
Replicate,ml_best,Replicate Deployments,model_endpoint,global,Global,gpu-h100-1x,,,,H100,0.001525,second,USD,usage_based,Single H100 price is listed in Replicate hardware pricing; verify exact hardware availability per model.,https://replicate.com/pricing,2026-05-11
Netlify,web_instant,Netlify Platform,web_site,global,Global,Free,,,,none,0,month,USD,subscription,Free plan exists; production deploys and usage are governed by plan limits/credits.,https://www.netlify.com/pricing/,2026-05-11
Netlify,web_instant,Netlify Platform,web_site,global,Global,Personal,,,,none,9,month,USD,subscription,Personal plan includes 1000 credits/month per official pricing page.,https://www.netlify.com/pricing/,2026-05-11
Netlify,web_instant,Netlify Platform,web_site,global,Global,Pro,,,,none,20,month,USD,subscription,"Pro plan is listed at 20 USD/month for unlimited members, with usage credits.",https://www.netlify.com/pricing/,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,Hobby,,,,none,0,month,USD,subscription,Hobby/free plan for personal projects; usage limits apply.,https://vercel.com/pricing,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,Pro,,,,none,20,month,USD,subscription,Pro subscription and included usage can change; verify active pricing page before purchase.,https://vercel.com/pricing,2026-05-11
Vercel,web_instant,Vercel Platform,web_app,global,Global,Enterprise,,,,none,,month,USD,custom,Enterprise pricing is custom.,https://vercel.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Free 0.25 CU,0.25,1,,none,0,month,USD,plan_included,Neon CU means compute unit; 1 CU maps to 1 vCPU and 4 GB RAM.,https://neon.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Scale extra compute,1,4,,none,,CU-hour,USD,usage_based,Use current Neon pricing page/API for exact CU-hour rate and plan allowance.,https://neon.com/pricing,2026-05-11
Neon,database,Neon Postgres,postgres,global,Global,Branch extra month,,,,none,1.50,branch-month,USD,usage_based,Official pricing page lists extra branch-month pricing.,https://neon.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,Micro,2,1,8,none,10,month,USD,compute_addon,Micro compute is covered by 10 USD compute credits on paid plans.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,Small,2,2,8,none,15,month,USD,compute_addon,Dedicated Postgres compute add-on; storage and usage quotas depend on plan.,https://supabase.com/pricing,2026-05-11
Supabase,database,Supabase Postgres,postgres,global,Global,Large,2,8,8,none,110,month,USD,compute_addon,Larger dedicated Postgres compute add-on.,https://supabase.com/pricing,2026-05-11
Firebase,database,Firebase Hosting + Firestore,backend_platform,global,Global,Spark,,,,none,0,month,USD,plan_included,Spark has no-cost quotas; products and quota details vary by Firebase service.,https://firebase.google.com/docs/projects/billing/firebase-pricing-plans,2026-05-11
Firebase,database,Firebase Hosting,hosting,global,Global,Blaze hosting storage,,,,none,0.026,GB-month,USD,pay_as_you_go,Blaze is pay-as-you-go; hosting storage and transfer have separate rates.,https://firebase.google.com/pricing,2026-05-11
Firebase,database,Cloud Firestore,document_database,global,Global,Blaze document reads,,,,none,0.06,100k reads,USD,pay_as_you_go,Firestore operation prices vary by location and database edition; verify current Firebase/GCP pricing.,https://firebase.google.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M0 Free,shared,shared,0.5,none,0,month,USD,plan_included,Atlas offers a free tier; exact cloud/region availability varies.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,Flex,shared,shared,5,none,,month,USD,usage_based,Flex pricing depends on monthly base and usage; use Atlas pricing/API for exact current price.,https://www.mongodb.com/pricing,2026-05-11
MongoDB,database,MongoDB Atlas,document_database,global,Global,M10,2,2,10,none,0.08,hour,USD,dedicated_cluster,Dedicated cluster sample; price varies by cloud provider and region.,https://www.mongodb.com/pricing,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,Free Trial,,,,none,0,month,USD,trial,Railway pricing is usage based; plan fee goes toward resource usage.,https://docs.railway.com/pricing,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,Hobby,,,,none,5,month,USD,subscription_credit,Hobby subscription fee is applied toward resource usage.,https://docs.railway.com/pricing,2026-05-11
Railway,backend,Railway Services,backend_service,global,Global,Pro,,,,none,20,month,USD,subscription_credit,Pro subscription fee is applied toward resource usage and team features.,https://docs.railway.com/pricing,2026-05-11
